gameid,speakerName,language,roundNum,condition,targetName,correct,gloss,colorMention,sizeMention,UtteranceType,onlyColorMention,onlySizeMention,colorsizeMention,RedundantProperty,SufficientProperty,RedExp3Cat,RedExp2Cat,redundant
5101-0,Bülent(türkçe),Turkish,38,"color 
 sufficient",lipstick_small_red,1,red lipstick small,1,1,color and size,0,0,1,size,color,redundant,redundant,1
5101-0,Bülent(türkçe),Turkish,40,"color 
 sufficient",shoe_small_pink,1,pink,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
5101-0,Bülent(türkçe),Turkish,41,"size 
 sufficient",bag_big_red,1,"red bag big, big",1,1,color and size,0,0,1,color,size,redundant,redundant,1
5101-0,Bülent(türkçe),Turkish,47,"color 
 sufficient",pants_small_green,1,green pants,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
5101-0,Bülent(türkçe),Turkish,48,"color 
 sufficient",skirt_small_blue,1,blue dress,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
5101-0,Bülent(türkçe),Turkish,49,"size 
 sufficient",key_small_silver,1,key small,0,1,only size,0,1,0,color,size,minimal,not_redundant,0
5101-0,Bülent(türkçe),Turkish,50,"size 
 sufficient",knife_big_red,1,"red knife, big",1,1,color and size,0,0,1,color,size,redundant,redundant,1
5101-0,Bülent(türkçe),Turkish,53,"size 
 sufficient",glasses_big_blue,1,blue glasses big,1,1,color and size,0,0,1,color,size,redundant,redundant,1
5101-0,Bülent(türkçe),Turkish,54,"color 
 sufficient",pot_small_blue,1,blue pot small,1,1,color and size,0,0,1,size,color,redundant,redundant,1
5101-0,Bülent(türkçe),Turkish,56,"color 
 sufficient",pepper_big_green,1,green peppers,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
5101-0,Bülent(türkçe),Turkish,58,"size 
 sufficient",ball_big_yellow,1,big yellow ball,1,1,color and size,0,0,1,color,size,redundant,redundant,1
5101-0,Bülent(türkçe),Turkish,60,"size 
 sufficient",button_big_blue,1,"button, blue, big",1,1,color and size,0,0,1,color,size,redundant,redundant,1
0881-8,duranatasoluk,CTSL,6,"color 
 sufficient",lock_big_gold,1,"lock lock big lock big lock big lock, door fit lock color point(color), point(yellow)",1,1,color and size,0,0,1,size,color,redundant,redundant,1
0881-8,duranatasoluk,CTSL,7,"size 
 sufficient",cat_big_white,1,"point(brown) big, bite",1,1,color and size,0,0,1,color,size,redundant,redundant,1
0881-8,duranatasoluk,CTSL,11,"color 
 sufficient",lighter_small_black,1,lighter point(black) lighter,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
0881-8,duranatasoluk,CTSL,12,"color 
 sufficient",tshirt_small_yellow,1,tshirt tshirt small point(yellow),1,1,color and size,0,0,1,size,color,redundant,redundant,1
0881-8,duranatasoluk,CTSL,14,"size 
 sufficient",apple_big_green,1,apple big apple big color point(green),1,1,color and size,0,0,1,color,size,redundant,redundant,1
0881-8,duranatasoluk,CTSL,16,"color 
 sufficient",socks_big_green,1,socks point(green),1,0,only color,1,0,0,size,color,minimal,not_redundant,0
0881-8,duranatasoluk,CTSL,18,"size 
 sufficient",knife_big_red,1,"knife, knife big point(red)",1,1,color and size,0,0,1,color,size,redundant,redundant,1
0881-8,duranatasoluk,CTSL,22,"size 
 sufficient",chair_big_blue,1,point(chair) sit point(blue) point(blue) big,1,1,color and size,0,0,1,color,size,redundant,redundant,1
0881-8,duranatasoluk,CTSL,23,"size 
 sufficient",glasses_big_blue,1,glasses big glasses glasses point(blue),1,1,color and size,0,0,1,color,size,redundant,redundant,1
0881-8,duranatasoluk,CTSL,24,"size 
 sufficient",glove_big_orange,1,"gloves point(orange), big gloves",1,1,color and size,0,0,1,color,size,redundant,redundant,1
0881-8,duranatasoluk,CTSL,27,"color 
 sufficient",toothbrush_big_purple,1,toothbrush point(purple),1,0,only color,1,0,0,size,color,minimal,not_redundant,0
0881-8,duranatasoluk,CTSL,30,"size 
 sufficient",flower_small_yellow,1,flower small point(yellow) small,1,1,color and size,0,0,1,color,size,redundant,redundant,1
0881-8,duranatasoluk,CTSL,31,"color 
 sufficient",scissors_small_green,1,scissors point(green),1,0,only color,1,0,0,size,color,minimal,not_redundant,0
0881-8,duranatasoluk,CTSL,32,"color 
 sufficient",pepper_big_green,1,pepper point(green),1,0,only color,1,0,0,size,color,minimal,not_redundant,0
0881-8,duranatasoluk,CTSL,35,"size 
 sufficient",baloon_small_pink,1,baloon ballon small,0,1,only size,0,1,0,color,size,minimal,not_redundant,0
0881-8,duranatasoluk,CTSL,37,"color 
 sufficient",pot_big_green,1,pot flames point(green),1,0,only color,1,0,0,size,color,minimal,not_redundant,0
0881-8,duranatasoluk,CTSL,43,"size 
 sufficient",dress_big_green,1,dress big point(green),1,1,color and size,0,0,1,color,size,redundant,redundant,1
0881-8,duranatasoluk,CTSL,44,"color 
 sufficient",umbrella_small_blue,1,umbrella umbrella small umbrella small point(screen) point(blue),1,1,color and size,0,0,1,size,color,redundant,redundant,1
0881-8,duranatasoluk,CTSL,46,"color 
 sufficient",pants_small_pink,1,pants small pants point(pink),1,1,color and size,0,0,1,size,color,redundant,redundant,1
0881-8,duranatasoluk,CTSL,47,"color 
 sufficient",tie_small_red,1,tie point(red),1,0,only color,1,0,0,size,color,minimal,not_redundant,0
0881-8,duranatasoluk,CTSL,52,"size 
 sufficient",brush_small_blue,1,brush small brush,0,1,only size,0,1,0,color,size,minimal,not_redundant,0
0881-8,duranatasoluk,CTSL,53,"size 
 sufficient",button_small_green,1,"? point(green), circle",1,0,only color,1,0,0,color,size,underinformative,not_redundant,0
0881-8,duranatasoluk,CTSL,54,"color 
 sufficient",shoe_big_yellow,1,shoe point(yellow),1,0,only color,1,0,0,size,color,minimal,not_redundant,0
0881-8,duranatasoluk,CTSL,57,"size 
 sufficient",car_big_green,1,"car point(green) big, big",1,1,color and size,0,0,1,color,size,redundant,redundant,1
0881-8,duranatasoluk,CTSL,58,"color 
 sufficient",lipstick_big_pink,1,lipstick point(pink),1,0,only color,1,0,0,size,color,minimal,not_redundant,0
0881-8,duranatasoluk,CTSL,59,"size 
 sufficient",ball_big_purple,1,ball ball point(purple),1,0,only color,1,0,0,color,size,underinformative,not_redundant,0
2062-e,durdukılıç(türkçe),Turkish,10,"size 
 sufficient",brush_big_red,1,brush big,0,1,only size,0,1,0,color,size,minimal,not_redundant,0
2062-e,durdukılıç(türkçe),Turkish,12,"size 
 sufficient",cat_small_black,1,"black cat, small",1,1,color and size,0,0,1,color,size,redundant,redundant,1
2062-e,durdukılıç(türkçe),Turkish,13,"size 
 sufficient",chair_small_yellow,1,chair yellow small,1,1,color and size,0,0,1,color,size,redundant,redundant,1
2062-e,durdukılıç(türkçe),Turkish,14,"size 
 sufficient",car_big_green,1,car big green,1,1,color and size,0,0,1,color,size,redundant,redundant,1
2062-e,durdukılıç(türkçe),Turkish,16,"size 
 sufficient",glove_big_orange,1,glove big orange,1,1,color and size,0,0,1,color,size,redundant,redundant,1
2062-e,durdukılıç(türkçe),Turkish,19,"color 
 sufficient",shoe_small_pink,1,sports pink,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
2062-e,durdukılıç(türkçe),Turkish,20,"color 
 sufficient",pants_big_pink,1,pants purple,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
2062-e,durdukılıç(türkçe),Turkish,21,"size 
 sufficient",button_big_blue,1,"button big, blue",1,1,color and size,0,0,1,color,size,redundant,redundant,1
2062-e,durdukılıç(türkçe),Turkish,22,"size 
 sufficient",dress_small_green,1,dress small,0,1,only size,0,1,0,color,size,minimal,not_redundant,0
2062-e,durdukılıç(türkçe),Turkish,23,"size 
 sufficient",ball_small_purple,1,ball small purple,1,1,color and size,0,0,1,color,size,redundant,redundant,1
2062-e,durdukılıç(türkçe),Turkish,26,"size 
 sufficient",flower_small_yellow,1,flower small,0,1,only size,0,1,0,color,size,minimal,not_redundant,0
2062-e,durdukılıç(türkçe),Turkish,31,"color 
 sufficient",pot_small_green,1,pot green,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
2062-e,durdukılıç(türkçe),Turkish,32,"color 
 sufficient",socks_big_blue,1,socks blue,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
2062-e,durdukılıç(türkçe),Turkish,33,"size 
 sufficient",clock_big_yellow,1,clock yellow big,1,1,color and size,0,0,1,color,size,redundant,redundant,1
2062-e,durdukılıç(türkçe),Turkish,35,"size 
 sufficient",knife_big_red,1,knife big red holder,1,1,color and size,0,0,1,color,size,redundant,redundant,1
2062-e,durdukılıç(türkçe),Turkish,36,"size 
 sufficient",bag_big_red,1,bag big red,1,1,color and size,0,0,1,color,size,redundant,redundant,1
2062-e,durdukılıç(türkçe),Turkish,37,"color 
 sufficient",lock_small_silver,1,lock gray,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
2062-e,durdukılıç(türkçe),Turkish,38,"color 
 sufficient",toothbrush_small_green,1,brush green,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
2062-e,durdukılıç(türkçe),Turkish,39,"size 
 sufficient",apple_small_red,1,apple small red,1,1,color and size,0,0,1,color,size,redundant,redundant,1
2062-e,durdukılıç(türkçe),Turkish,40,"color 
 sufficient",lighter_big_black,1,lighter black,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
2062-e,durdukılıç(türkçe),Turkish,41,"size 
 sufficient",balloon_big_pink,1,baloon pink big,1,1,color and size,0,0,1,color,size,redundant,redundant,1
2062-e,durdukılıç(türkçe),Turkish,42,"color 
 sufficient",tshirt_big_orange,1,tshirt red like one,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
2062-e,durdukılıç(türkçe),Turkish,45,"color 
 sufficient",scissors_big_blue,1,scissors blue,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
2062-e,durdukılıç(türkçe),Turkish,46,"color 
 sufficient",skirt_small_green,1,skirt green,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
2062-e,durdukılıç(türkçe),Turkish,47,"color 
 sufficient",tie_big_red,1,tie red,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
2062-e,durdukılıç(türkçe),Turkish,51,"size 
 sufficient",glasses_big_red,1,glasses red big,1,1,color and size,0,0,1,color,size,redundant,redundant,1
2062-e,durdukılıç(türkçe),Turkish,52,"color 
 sufficient",umbrella_big_green,1,umbrella green,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
2062-e,durdukılıç(türkçe),Turkish,55,"size 
 sufficient",key_small_gold,1,key yellow small,1,1,color and size,0,0,1,color,size,redundant,redundant,1
2062-e,durdukılıç(türkçe),Turkish,57,"color 
 sufficient",pepper_big_red,1,pepper red,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
9458-d,fatma teyze (ctsl),CTSL,14,"size 
 sufficient",key_big_silver,1,"big big big key big, big big",0,1,only size,0,1,0,color,size,minimal,not_redundant,0
