"","gameid","roundNum","condition","targetName","gloss","pos_sequence","mouthing","pointing","notes","language","attempt","pos"
"189","9458-d",46,"color_sufficient","shoe_small_pink","point(pink)","color",NA,"1",NA,"CTSL","attempt1","color"
"190","9458-d",48,"color_sufficient","scissors_small_blue","scisssors, point(blue)","noun, color",NA,"1",NA,"CTSL","attempt1","noun"
"191","9458-d",50,"size_sufficient","button_small_blue","button small","noun size",NA,"0",NA,"CTSL","attempt1","noun size"
"192","9458-d",51,"color_sufficient","tshirt_big_yellow","point(yellow)","color",NA,"1",NA,"CTSL","attempt1","color"
"193","9458-d",53,"color_sufficient","lock_big_gold","point(yellow) lock","color noun",NA,"1",NA,"CTSL","attempt1","color noun"
"194","9458-d",55,"color_sufficient","pants_small_green","? pants small, point(green)","? noun size, color","blue","1","is the first sign blue or color?","CTSL","attempt1","? noun size"
"195","9458-d",56,"size_sufficient","brush_small_red","brush small","noun size",NA,"0",NA,"CTSL","attempt1","noun size"
"196","9458-d",58,"color_sufficient","tie_big_red","tie color tie point(red)","noun ? noun color",NA,"1",NA,"CTSL","attempt1","noun ? noun color"
"197","9458-d",60,"color_sufficient","lighter_big_white","lighter lighter big big lighter","noun noun size size noun",NA,"9","how does. she sign white?","CTSL","attempt1","noun noun size size noun"
"198","7680-b",6,"size_sufficient","clock_big_yellow","clock small point(screen)","noun size loc",NA,NA,NA,"CTSL","attempt1","noun size loc"
"199","7680-b",8,"size_sufficient","ball_big_purple","point(purple)","color",NA,"1",NA,"CTSL","attempt1","color"
"200","7680-b",9,"color_sufficient","skirt_big_green","point(green)","color",NA,"1",NA,"CTSL","attempt1","color"
"201","7680-b",11,"color_sufficient","shoe_big_yellow","point(yellow)","color",NA,"1",NA,"CTSL","attempt1","color"
"202","7680-b",22,"color_sufficient","toothbrush_small_purple","point(screen) toothbrush point(screen)","loc noun loc",NA,NA,NA,"CTSL","attempt1","loc noun loc"
